Class,Location,Day/Time
CHEM 8B - DIS 01B,Soc Sci 1 161,Tu 05:20PM-06:25PM
CHEM 8B - DIS 01C,Oakes Acad 102,Tu 07:10PM-08:15PM
CHEM 8B - DIS 01D,R Carson  Acad 252,W 09:20AM-10:25AM
CHEM 8B - DIS 01E,J Baskin Engr 156,W 10:40AM-11:45AM
CHEM 8B - DIS 01F,Oakes Acad 102,W 02:40PM-03:45PM
CHEM 8B - DIS 01G,Oakes Acad 102,W 04:00PM-05:05PM
CHEM 8B - DIS 01H,Soc Sci 1 161,W 05:20PM-06:25PM
CHEM 8B - DIS 01I,J Baskin Engr 372,W 12:00PM-01:05PM
CHEM 8B - DIS 01J,J Baskin Engr 165,F 09:20AM-10:25AM
CHEM 8B - DIS 01K,R Carson Acad 242,F 10:40AM-11:45AM
CHEM 8B - DIS 01L,J Baskin Engr 372,F 12:00PM-01:05PM
CHEM 103 - 01 DIS 01A,Steven Acad 151,Th 07:10PM-08:15PM
CHEM 103 - 01 DIS 01B,Kresge Acad 3301,F 10:40AM-11:45AM
CHEM 110 - 01 DIS 01A,Earth&Marine B210,M 01:20PM-02:25PM
CHEM 110 - 01 DIS 01B,Cowell Acad 223,F 01:20PM-02:25PM
CHEM 110 - 01 DIS 01C,Soc Sci 1 153,M 05:20PM-06:25PM
CHEM 146C - #50518 LBS 01A,Thimann Lab 376,M 12:00PM-04:00PM
CHEM 146C - #50516 LBS 01C,Thimann Lab 376,W 03:30PM-07:30PM
CHEM 163C - DIS 01A,PhysSciences 136,F 01:20PM-02:25PM
CHEM 163C - DIS 01B,Crown Clrm 208,M 05:20PM-06:25PM
CMMU 145 - 01 DIS 01A,R Carson Acad 242,M 01:20PM-02:25PM
CMMU 145 - 01 DIS 01B,Oakes Acad 222,Tu 06:40PM-07:45PM
CMPM 27 - 01 #51598 LBS 01A,J Baskin Engr 109,Tu 02:15PM-03:20PM
CMPM 27 - 01 #51671 LBS 01B,J Baskin Engr 109,F 09:30AM-10:35AM
CMPM 80J - DIS 01A,R Carson  Acad 250,M 09:20AM-10:25AM
CMPM 80J - DIS 01B,PhysSciences 130,M 12:00PM-01:05PM
CMPM 80J - DIS 01C,PhysSciences 136,Th 07:10PM-08:15PM
CMPM 80J - DIS 01D,Engineer 2 192,W 02:40PM-03:45PM
CMPM 80J - DIS 01E,Crown Clrm 208,F 01:20PM-02:25PM
CMPM 118 - 01 DIS 01A,Sci & Engr Library 206,M 10:40AM-11:45AM
CMPM 118 - 01 DIS 01B,Sci & Engr Library 206,F 10:40AM-11:45AM
