Class,Location,Day/Time
ASTR 9B - 01   Intro Research Phys,SEM: Sci & Engr Library 206,MWF 01:20PM-02:25PM
ASTR 19 - 01   Practical Programming,LEC: Sci & Engr Library 206,TuTh 01:30PM-03:05PM
ASTR 21 - 01   The Diverse Universe,LEC: Earth&Marine B210,TuTh 11:40AM-01:15PM
ASTR 112 - 01   Physics of Stars,LEC: Earth&Marine B210,TuTh 09:50AM-11:25AM
ASTR 119 - 01   Intro Sci Computing,LEC: McHenry Lib 1340,TuTh 05:20PM-06:55PM
ASTR 135 - 01   Astrophys Adv Lab,LAB: Thimann Lab 391,TuTh 01:30PM-03:05PM
ASTR 136 - 01   Adv Astro Lab,LAB: ISB 165,TuTh 03:20PM-04:55PM
ASTR 171 - 01   Genl Relativity,LEC: PhysSciences 136,TuTh 11:40AM-01:15PM
ASTR 222 - 01   Stars and Planets II,LEC: ISB 165,TuTh 09:50AM-11:25AM
ASTR 224 - 01   PartclAstro&Cosmolgy,LEC: ISB 231,TuTh 08:00AM-09:35AM
ASTR 234 - 01   StatisTechniquesAstro,LEC: ISB 356,MWF 09:20AM-10:25AM
ASTR 289 - 01   Adaptive Optics,LEC,Cancelled Cancelled
ASTR 292 - 01   Seminar,SEM: N. Sci Annex 101,W 10:40AM-11:45AM
BIOC 100C - 01   Biochemistry,LEC: J Baskin Engr 152,MWF 04:00PM-05:05PM
BIOC 163B - 01   Bioc Thermodynamics,LEC: Engineer 2 194,MWF 01:20PM-02:25PM
BIOE 20B - 01   Developmt & Physiol,LEC: Kresge Acad 3105,TuTh 09:50AM-11:25AM
BIOE 20C - 01   Ecology & Evolution,LEC: Media Theater M110,TuTh 01:30PM-03:05PM
BIOE 20F - 01   Field Biology Practice,FLD: Thimann Lab 239,W 09:00AM-01:00PM
BIOE 20F - 02   Field Biology Practice,FLD: Thimann Lab 239,Th 09:50AM-11:25AM
BIOE 20F - 03   Field Biology Practice,FLD: Thimann Lab 239,Th 11:40AM-01:15PM
BIOE 75 - 01   Sci Diving Methods,FLD: TBD In Person,Day and Time:
BIOE 82 - 01   Intro Field Res/Con,FLD: Nat Sci 2 233,Tu 05:20PM-06:55PM
BIOE 82 - 02   Intro Field Res/Con,FLD: Nat Sci 2 233,Th 05:20PM-06:55PM
BIOE 107 - 01   Ecology,LEC: CoastBio 110,TuTh 02:25PM-04:00PM
BIOE 109 - 01   Evolution,LEC: CoastBio 110,TuTh 12:25PM-02:00PM
BIOE 118 - 01   Plants and Society,LEC: N. Sci Annex 101,TuTh 09:50AM-11:25AM
BIOE 120 - 01   Marine Botany,LEC: CoastBio 110,TuTh 08:25AM-10:00AM
BIOE 120L - 01   Marine Botany Lab,LAB: Lg Discovery 128,W 10:30AM-01:30PM
BIOE 120L - 02   Marine Botany Lab,LAB: Lg Discovery 128,W 02:15PM-05:15PM
BIOE 120L - 03   Marine Botany Lab,LAB: Lg Discovery 128,Th 10:30AM-01:30PM
BIOE 120L - 04   Marine Botany Lab,LAB: Lg Discovery 128,Th 02:15PM-05:15PM
"BIOE 121 - 01   Plants, Earth, Climate",LEC: CoastBio 110,MW 03:25PM-05:00PM
BIOE 125 - 01   Ecosystems of Calif,LEC: Online,Day and Time:
BIOE 128L - 01   LrgMarineVertebField,FLD: CoastBio 203,TuTh 09:00AM-01:00PM
BIOE 129 - 01   Biol Marine Mammals,LEC: CoastBio 110,MW 10:00AM-11:35AM
BIOE 129L - 01   Marine Mammals Lab,LAB: CoastBio 115,M 12:00PM-03:00PM
BIOE 129L - 02   Marine Mammals Lab,LAB: CoastBio 115,Tu 08:30AM-11:30AM
BIOE 129L - 03   Marine Mammals Lab,LAB: CoastBio 115,W 12:00PM-03:00PM
BIOE 136 - 01   Enviro Physiology,LEC: CoastBio 110,MW 01:25PM-03:00PM
BIOE 149 - 01   Disease Ecology,LEC: CoastBio 110,TuTh 10:25AM-12:00PM
BIOE 151A - 01   Ecol Field Methods,FLD: TBD In Person,Day and Time:
BIOE 151B - 01   Ecol Fld Mthds Lab,FLD: TBD In Person,Day and Time:
BIOE 151C - 01   Terrestrial Ecosys,FLD: TBD In Person,Day and Time:
BIOE 151D - 01   Conserv/Practice,FLD: TBD In Person,Day and Time:
BIOE 189F - 01   Special Topics: EEB,SEM: CoastBio 203,M 03:25PM-05:00PM
BIOE 203 - 01   Intro Seminar EEB,SEM: CoastBio 203,M 10:00AM-12:00PM
BIOE 215 - 01   Adv Seminar EEB,SEM: TBD In Person,Day and Time:
BIOE 281A - 01   Appld Marine Ecolog,SEM: TBD In Person,Day and Time:
BIOE 281B - 01   Molecular Evolution,SEM: TBD In Person,Day and Time:
BIOE 281C - 01   Physiological Ecol,SEM: TBD In Person,Day and Time:
BIOE 281D - 01   Global Chng Ecology,SEM: TBD In Person,Day and Time:
BIOE 281E - 01   Freshwater Ecology,SEM: TBD In Person,Day and Time:
BIOE 281G - 01   SexualSel/Soci Behav,SEM: TBD In Person,Day and Time:
BIOE 281H - 01   Comp Marine Phys,SEM: TBD In Person,Day and Time:
BIOE 281I - 01   DiseaseEco/Population,SEM: TBD In Person,Day and Time:
BIOE 281J - 01   Evolutionary Genomics,SEM: TBD In Person,Day and Time:
BIOE 281K - 01   Plant Evolution,SEM: TBD In Person,Day and Time:
